waktu_setempat,id_jalan,id_titik_mulai,id_titik_akhir,count
2020-02-01,1210,195849,1663386752,17
2020-02-01,1210,195850,451638,18
2020-02-01,1210,195850,1663386752,22
2020-02-01,1210,195854,1663442661,22
2020-02-01,1210,195854,1663451615,19
2020-02-01,1210,195855,579493389,22
2020-02-01,1210,195855,5861520677,20
2020-02-01,1210,196019,245009257,22
2020-02-01,1210,196019,1701653559,18
2020-02-01,1210,199878,451638,22
2020-02-01,1210,199878,582492979,19
2020-02-01,1210,451638,195850,22
2020-02-01,1210,451638,199878,18
2020-02-01,1210,480041,1663426986,22
2020-02-01,1210,480041,1663432888,18
2020-02-01,1210,16385387,1663432888,22
2020-02-01,1210,16385387,1663442661,18
2020-02-01,1210,245009257,196019,21
2020-02-01,1210,245009257,5861520677,22
2020-02-01,1210,579493389,195855,20
2020-02-01,1210,579493389,1701556071,22
2020-02-01,1210,582492979,199878,22
2020-02-01,1210,582492979,1663461749,19
2020-02-01,1210,1030634572,1030634588,19
2020-02-01,1210,1030634572,1663451615,22
2020-02-01,1210,1030634588,1030634572,22
2020-02-01,1210,1030634588,1701556095,19
2020-02-01,1210,1131002278,1663421251,22
2020-02-01,1210,1131002278,1663475470,19
2020-02-01,1210,1663386752,195849,22
2020-02-01,1210,1663386752,195850,18
2020-02-01,1210,1663421251,1131002278,19
2020-02-01,1210,1663421251,1663461749,22
2020-02-01,1210,1663426986,480041,19
2020-02-01,1210,1663426986,1663475339,22
2020-02-01,1210,1663432888,480041,22
2020-02-01,1210,1663432888,16385387,18
2020-02-01,1210,1663442661,195854,18
2020-02-01,1210,1663442661,16385387,22
2020-02-01,1210,1663451615,195854,22
2020-02-01,1210,1663451615,1030634572,19
2020-02-01,1210,1663461749,582492979,22
2020-02-01,1210,1663461749,1663421251,19
2020-02-01,1210,1663475339,1663426986,19
2020-02-01,1210,1663475339,1663475470,22
2020-02-01,1210,1663475470,1131002278,22
2020-02-01,1210,1663475470,1663475339,19
2020-02-01,1210,1701556071,579493389,19
2020-02-01,1210,1701556071,1701556095,22
2020-02-01,1210,1701556095,1030634588,22
2020-02-01,1210,1701556095,1701556071,19
2020-02-01,1210,1701653559,196019,20
2020-02-01,1210,5861520677,195855,22
2020-02-01,1210,5861520677,245009257,19
2020-02-01,3688059,299294,18239812,22
2020-02-01,3688059,299299,299300,21
2020-02-01,3688059,299299,1569013567,22
2020-02-01,3688059,299300,299299,22
2020-02-01,3688059,299300,18239812,21
2020-02-01,3688059,299315,1207440426,16
2020-02-01,3688059,299315,6124197522,22
2020-02-01,3688059,299317,2951577723,22
2020-02-01,3688059,299317,6124197522,18
2020-02-01,3688059,299320,25631788,16
2020-02-01,3688059,299320,2104867490,23
2020-02-01,3688059,299322,25631786,17
2020-02-01,3688059,299322,6205314505,23
2020-02-01,3688059,299324,299326,22
2020-02-01,3688059,299324,3461330307,19
2020-02-01,3688059,299326,299324,18
2020-02-01,3688059,18239812,299294,21
2020-02-01,3688059,18239812,299300,22
2020-02-01,3688059,25631786,299322,23
2020-02-01,3688059,25631786,2104867490,17
2020-02-01,3688059,25631788,299320,23
2020-02-01,3688059,25631788,2951577723,17
2020-02-01,3688059,1207440426,299315,22
2020-02-01,3688059,1207440426,1207440498,17
2020-02-01,3688059,1207440498,1207440426,21
2020-02-01,3688059,1207440498,1207440535,17
2020-02-01,3688059,1207440535,1207440498,22
2020-02-01,3688059,1207440535,2652085279,16
2020-02-01,3688059,1569013567,299299,21
2020-02-01,3688059,1569013567,6106607129,22
2020-02-01,3688059,1569013582,1569013591,22
2020-02-01,3688059,1569013582,6106607129,21
2020-02-01,3688059,1569013591,1569013582,21
2020-02-01,3688059,1569013591,1569013633,22
2020-02-01,3688059,1569013633,1569013591,21
