id_titik_mulai;id_titik_akhir;start_latitude;start_longitude;end_latitude;end_longitude;distance_km;distance_meter;concat;distance_meter
21390008;1425033102;51,434928;-0,1611764;51,4349746;-0,1610901;0,007914363;7,914363286;213900081425033102;7,914363286
1677092762;579493410;51,62399;-0,1763979;51,623811;-0,1764239;0,019984653;19,98465274;1677092762579493410;19,98465274
26486694;1930267566;51,4525302;-0,1524368;51,4527491;-0,151896;0,044684593;44,68459319;264866941930267566;44,68459319
1111592522;3775231113;51,4658511;-0,1541884;51,4656543;-0,1553343;0,082340453;82,34045298;11115925223775231113;82,34045298
5940503398;5940503394;51,5302893;-0,228343;51,5301973;-0,2279489;0,029117877;29,11787696;59405033985940503394;29,11787696
5224440152;5224440151;51,5796577;-0,1981508;51,5797012;-0,1981662;0,00495265;4,952650056;52244401525224440151;4,952650056
21539432;227756;51,4599286;-0,1208325;51,459852;-0,1212061;0,027248944;27,24894449;21539432227756;27,24894449
43405913;27242603;51,4322668;-0,1638849;51,4325;-0,1638009;0,026576455;26,57645479;4340591327242603;26,57645479
6343348893;5827426460;51,5442646;0,0147744;51,5442859;0,0148598;0,006362913;6,36291302;63433488935827426460;6,36291302
1623681994;2378872;51,5289839;-0,2198089;51,5298852;-0,2234465;0,270857115;270,8571155;16236819942378872;270,8571155
227757;114276599;51,4595641;-0,123961;51,4595801;-0,1236998;0,018183666;18,18366571;227757114276599;18,18366571
21504099;1237102032;51,458254;-0,1289285;51,4590687;-0,1290342;0,090886026;90,88602604;215040991237102032;90,88602604
32046542;32046623;51,4651822;-0,2552399;51,4651529;-0,2564994;0,087310606;87,31060579;3204654232046623;87,31060579
196051;902515655;51,6209294;-0,1766224;51,6214539;-0,1766044;0,058334976;58,33497603;196051902515655;58,33497603
2951577723;25631788;51,4586856;-0,2429995;51,4594005;-0,2431278;0,079988693;79,98869283;295157772325631788;79,98869283
111950921;111951162;51,4701077;-0,1125006;51,4691853;-0,1124745;0,102582132;102,582132;111950921111951162;102,582132
26346792;292139;51,466235;-0,1516941;51,4662952;-0,1505115;0,08219374;82,1937397;26346792292139;82,1937397
17899276;18292997;51,4637965;-0,2326424;51,4636857;-0,2319549;0,049194676;49,19467577;1789927618292997;49,19467577
33203760;18126978;51,489578;-0,2061546;51,4892522;-0,2059079;0,040052048;40,05204833;3320376018126978;40,05204833
267341420;33776308;51,4543707;-0,1132653;51,4544344;-0,1132969;0,007413818;7,413817723;26734142033776308;7,413817723
17899643;6285304942;51,4628165;-0,2255593;51,4628766;-0,2261658;0,04254457;42,54456996;178996436285304942;42,54456996
196049;1030634577;51,6221812;-0,1765521;51,6218796;-0,1765632;0,033545143;33,54514337;1960491030634577;33,54514337
902515655;196051;51,6214539;-0,1766044;51,6209294;-0,1766224;0,058334976;58,33497603;902515655196051;58,33497603
301780;18235087;51,4626854;-0,2239621;51,4624337;-0,2224435;0,108863721;108,8637208;30178018235087;108,8637208
30427336;32046623;51,465136;-0,2568066;51,4651529;-0,2564994;0,021363597;21,36359698;3042733632046623;21,36359698
299294;18239812;51,449898;-0,2409531;51,4504098;-0,2418474;0,08413781;84,13781015;29929418239812;84,13781015
1697599345;4731051219;51,53169;-0,2321102;51,5315138;-0,2317442;0,03201288;32,0128797;16975993454731051219;32,0128797
265111477;294158420;51,5284941;-0,1443278;51,5285819;-0,1443283;0,009762976;9,76297583;265111477294158420;9,76297583
6012998332;6012998323;51,4515815;-0,1304564;51,4512796;-0,1305623;0,034362451;34,36245076;60129983326012998323;34,36245076
20961139;18127003;51,4874882;-0,2035374;51,4871433;-0,2033666;0,040133115;40,13311507;2096113918127003;40,13311507
6285304942;17899643;51,4628766;-0,2261658;51,4628165;-0,2255593;0,04254457;42,54456996;628530494217899643;42,54456996
