id;rerata_kecepatan
0;33.58464095
1;33.01815421
2;33.42757985
3;34.73245274
4;36.6129403
5;38.80549476
6;41.13855227
7;43.35680654
8;45.04853047
9;45.86679704
10;45.86007233
11;45.52431699
12;45.41484662
13;45.61388196
14;45.5676673
15;44.52056082
16;42.21737116
17;39.24978632
18;36.69899249
19;35.34593829
20;35.11524905
21;35.21841024
22;34.84931474
23;33.82329835
24;32.64822715
25;32.05044684
26;32.43318855
27;33.71678337
28;35.58211964
29;37.76628573
30;40.09826065
31;42.3231806
32;44.02965491
33;44.87098256
34;44.89574246
35;44.59989368
36;44.53863608
37;44.79396235
38;44.81177974
39;43.83600519
40;41.61090808
41;38.72754662
42;36.26639538
43;35.00761929
44;34.87499866
45;35.07912419
46;34.81295636
47;33.89087375
48;32.81977333
49;32.32503304
50;32.80893071
51;34.19087157
52;36.15085813
53;38.42514499
54;40.8419408
55;43.14568534
56;44.92437492
57;45.83078733
58;45.91307927
59;45.6668924
60;45.64721841
61;45.93595396
62;45.97902393
63;45.0204764
64;42.80482375
65;39.92347593
66;37.45736329
67;36.18720458
68;36.03742446
69;36.21933988
70;35.9267096
71;34.97477164
72;33.87133181
73;33.34271382
74;33.79216508
75;35.14007078
76;37.06740999
77;39.31139675
78;41.70116835
79;43.98204906
80;45.74286263
81;46.63714508
82;46.71373064
83;46.46884735
84;46.45797278
85;46.76338088
86;46.8312584
87;45.90579448
88;43.73151803
89;40.89972864
90;38.49111883
91;37.28604299
92;37.20843756
93;37.46901158
94;37.2608021
95;36.39821881
96;35.38814144
97;34.9558798
98;35.50359089
99;36.9505053
100;38.97639661
101;41.31723644
102;38.82016981
103;38.33640038
104;37.71466806
105;37.17829079
106;37.13225923
107;37.87406271
108;39.32866663
109;41.05818775
110;42.56642122
111;43.64760613
112;44.4770893
113;45.36816421
114;46.4189927
115;47.36832849
116;47.78301045
117;47.40055837
118;46.32473133
119;44.92525319
120;43.56467409
121;42.4053646
122;41.43189397
123;40.59874901
124;39.91335614
125;39.37730644
126;38.89583929
127;38.31506791
128;37.59894299
129;36.97190196
130;36.83997568
131;37.50160266
132;38.88259594
133;40.5458094
134;41.9956574
135;43.02687452
136;43.81517534
137;44.67409101
138;45.70189048
139;46.63730513
140;47.04702511
141;46.66829958
142;45.6045014
143;44.22486029
144;42.89133341
145;41.76560991
146;40.8315006
147;40.04266927
148;39.40566792
149;38.92117559
150;38.49349614
151;37.96779822
152;37.30709326
153;36.73489895
154;36.65635975
155;37.36907433
156;38.798075
157;40.50550556
158;41.99515149
159;43.06120896
160;43.87895249
161;44.76157816
162;45.80712964
163;46.7542263
164;47.16956111
165;46.79050105
166;45.72064999
167;44.3295786
168;42.97969
169;41.83321779
170;40.87460777
171;40.05823995
172;39.39145321
173;38.87577249
174;38.41639402
175;37.8594118
176;37.16878179
177;36.56897089
178;36.46606294
179;37.15857155
180;38.57240511
181;40.27053064
182;41.75749046
183;42.82815856
184;43.65839648
185;44.56188583
186;45.63704494
187;46.62274891
188;47.08582106
189;46.76362836
190;45.75964117
191;44.44316164
192;43.17618965
193;42.12042299
194;41.25964298
195;40.54744207
196;39.99025591
197;39.58859947
198;39.24656273
199;38.80904911
200;38.23875271
201;37.75882164
202;37.77397912
203;38.58135236
204;40.10545397
205;41.90786275
206;43.49175735
207;44.65068961
208;45.55925713
209;46.52995201
210;47.66009299
211;48.6875602
212;49.17830014
213;48.86893344
214;47.86232554
215;46.52732444
216;45.22563434
217;44.11882174
218;43.19070501
219;42.39508422
220;41.73877322
221;41.22283395
222;40.75206826
223;40.17225058
224;39.44709744
225;38.80092131
226;38.63974052
227;39.26209531
228;40.59401502
229;42.19868336
230;43.58095541
231;44.53611349
232;45.24052137
233;46.00845432
234;38.13990291
235;37.56027406
236;36.76490884
237;36.07038019
238;36.00759992
239;36.92736867
240;38.68700486
241;40.71375902
242;42.41434051
243;43.58327719
244;44.45902975
245;45.39614689
246;46.46685205
247;47.35498561
248;47.62108468
249;47.07627497
250;45.92436891
251;44.57256732
252;43.32181992
253;42.22789624
254;41.21714029
255;40.27668289
256;39.48997886
257;38.89175656
258;38.34245499
259;37.61944337
260;36.68328072
261;35.85220958
262;35.65872375
263;36.45509981
264;38.10000913
265;40.021917
266;41.62859617
267;42.71547525
268;43.52174411
269;44.40250235
270;45.4303417
271;46.28928636
272;46.53987325
273;45.99304682
274;44.85226237
275;43.52419524
276;42.30911096
277;41.26194777
278;40.3080848
279;39.4335695
280;38.7206714
281;38.20284948
282;37.73920799
283;37.1057355
284;36.26158451
285;35.52358519
286;35.42283331
287;36.31024138
288;38.04316987
289;40.04884459
290;41.73388736
291;42.89268032
292;43.76348565
293;44.70060661
294;45.77598073
295;46.6731288
296;46.95224171
297;46.42407961
298;45.29207732
299;43.96305324
300;42.73757703
301;41.6710473
302;40.68945282
303;39.77959087
304;39.0246099
305;38.45896401
306;37.94285417
307;37.25345131
308;36.3511585
309;35.55410649
310;35.39472247
311;36.22526161
312;37.90441837
313;39.86072399
314;41.50205756
315;42.62399123
316;43.46589164
317;44.38306371
318;45.44832783
319;46.34595441
320;46.63673792
321;46.13188511
322;45.03511157
323;43.75334395
324;42.58708309
325;41.59147972
326;40.69209585
327;39.87512577
328;39.2229438
329;38.76906608
330;38.37260141
331;37.80948604
332;37.03875969
333;36.37707658
334;36.35529147
335;37.32400987
336;39.14021926
337;41.23070746
338;43.00159523
339;44.24670357
340;45.2036773
341;46.22615096
342;47.38534768
343;48.36403471
344;48.72161765
345;48.26804748
346;47.2059346
347;45.94126685
348;44.77378657
349;43.75807811
350;42.81933889
351;41.94360768
352;41.21331714
353;40.6622579
354;40.15002913
355;39.45327039
356;38.5319322
357;37.7037791
358;37.50096518
359;38.27557165
360;39.88622301
361;41.76148847
362;43.30939579
363;44.32577819
364;45.05037608
365;45.8389802
366;29.68269833
367;29.86416267
368;31.10914953
369;32.98925101
370;35.1697611
371;37.60828406
372;40.30064622
373;42.9242023
374;44.85891065
375;45.65376438
376;45.48327015
377;45.07208171
378;45.06405339
379;45.39307929
380;45.27806172
381;43.90707076
382;41.21357226
383;38.02734776
384;35.44250514
385;33.96500437
386;33.20046534
387;32.33472919
388;30.93364283
389;29.33019702
390;28.29715743
391;28.37969215
392;29.53020129
393;31.32153386
394;33.42016916
395;35.78481154
396;38.41228974
397;40.98085214
398;42.87123227
399;43.63307192
400;43.44139351
401;43.02122887
402;43.01666984
403;43.36170634
404;43.27519543
405;41.94502336
406;39.30433772
407;36.18247314
408;33.67296941
409;32.28110605
410;31.61172039
411;30.84978026
412;29.56018099
413;28.07489684
414;27.16562602
415;27.37643277
416;28.65859177
417;30.58382001
418;32.81747298
419;35.31715409
420;38.07862809
421;40.77912981
422;42.79844229
423;43.68533157
424;43.61402953
425;43.30887193
426;43.41335683
427;43.86098905
428;43.87025395
429;42.62878264
430;40.06958564
431;37.0219784
432;34.57959747
433;33.2479317
434;32.63213508
435;31.91759295
436;30.66971092
437;29.22105692
438;28.34399578
439;28.5833197
440;29.89108028
441;31.83980716
442;34.09569067
443;36.6171771
444;39.40086814
445;42.12481532
446;44.16958443
447;45.08467679
448;45.04499929
449;44.77549041
450;44.92016757
451;45.41296163
452;45.47268201
453;44.2871746
454;41.78954958
455;38.8091027
456;36.43932894
457;35.18545274
458;34.65224173
459;34.02457545
460;32.86723852
461;31.51206867
462;30.73059871
463;31.0666961
464;32.47140531
465;34.51617823
466;36.86606956
467;43.20646378
468;41.91683343
469;40.76789874
470;40.53654531
471;41.54360624
472;43.399305
473;45.30672736
474;46.66775
475;47.47174108
476;48.15389574
477;49.09183082
478;50.21631749
479;51.07080941
480;51.2206207
481;50.6077768
482;49.54541311
483;48.41773623
484;47.41502616
485;46.54066849
486;45.8053703
487;45.32619078
488;45.18240157
489;45.19335375
490;44.92453628
491;44.02028332
492;42.59995516
493;41.31811665
494;40.95319375
495;41.82753215
496;43.55282295
497;45.33355828
498;46.57294445
499;47.26158837
500;47.83581998
501;48.67427554
502;49.7086203
503;50.48306841
504;50.56355444
505;49.89257956
506;48.78360743
507;47.62102457
508;46.59514348
509;45.7092378
510;44.97376268
511;44.5053919
512;44.38288605
513;44.42496906
514;44.19639739
515;43.34067941
516;41.97626939
517;40.7567598
518;40.45955252
519;41.40593241
520;43.20650841
521;45.06468441
522;46.38258779
523;47.14977058
524;47.80154637
525;48.7155871
526;49.82265853
527;50.66615181
528;50.81126535
529;50.19986015
530;49.14486331
531;48.03023439
532;47.04597307
533;46.19515692
534;45.48816293
535;45.04170387
536;44.9346941
